Id,TitleId,RealName,CharacterName,Role
1,1,Earl Schumm,Tabitha Marquardt,Actress
2,1,Tammy McCullough,Tiffany Schumm,CostumeDesigner
3,1,Doyle Osinski,Carol Stiedemann,Actor
4,1,Melvin Jacobson,Mandy Emard,MusicCompose
5,1,Darrell Schulist,Grady Conn,MusicCompose
6,1,Randall Wiegand,Blanca Braun,FilmEditor
7,1,Zachary Crona,Bernice Johnston,Director
8,1,Tracy Hauck,Rolando Little,Actor
9,1,Mattie Harber,Micheal Marks,MusicCompose
10,1,Carmen Stracke,Tommie Jacobi,Cinematographer
11,1,Jasmine Tillman,Jean Medhurst,Cinematographer
12,1,Santiago Wilkinson,Bruce Dickinson,FilmEditor
13,1,Philip Towne,Sharon Quigley,Screenwriter
14,1,Timmy Funk,Lucille Howe,Screenwriter
15,1,Pamela Bergstrom,Julio Hilpert,Actor
16,2,Abraham Bailey,June Reynolds,ProductionDesigner
17,2,Claire Stark,Jackie Abernathy,ProductionDesigner
18,2,Peter Lubowitz,Tina Bahringer,CostumeDesigner
19,2,Loren Klocko,Kari Padberg,Screenwriter
20,2,Julian Ryan,Pete King,ProductionDesigner
21,2,Daisy Thiel,Irma Murray,FilmEditor
22,2,Lorena Gutmann,Samuel Blick,FilmEditor
23,2,Wendell Stehr,Shirley Watsica,CostumeDesigner
24,2,Jeffrey Donnelly,Francis Abshire,CostumeDesigner
25,2,Sherry Dickens,Ada Paucek,MusicCompose
26,2,Lois Ebert,Earl Lemke,Cinematographer
27,2,Lindsay Kunze,Tanya Schuppe,Actress
28,2,Julia Koss,Nora Abshire,Cinematographer
29,2,Sonja Johns,Amber Kreiger,Screenwriter
30,2,Antonio Kris,Kristine Waelchi,FilmEditor
31,3,Angie Bailey,Armando Hackett,CostumeDesigner
32,3,Wade Kling,Dianna Hills,Cinematographer
33,3,Kellie Tromp,Tami Wehner,Actor
34,3,Janis Witting,Boyd Moore,Director
35,3,Zachary Terry,Kathleen Ullrich,CostumeDesigner
36,3,Cody Pfannerstill,Pearl Harvey,MusicCompose
37,3,Garrett Dickens,Winston Hilll,MusicCompose
38,3,Julio Luettgen,Erick Hane,Actor
39,3,Lynne Kilback,Lonnie Nader,Director
40,3,Nathan Goyette,Emilio Ledner,Screenwriter
41,3,Joshua Kutch,Gregg Kshlerin,Producer
42,3,Essie Barrows,Louis Gusikowski,Screenwriter
43,3,Vincent Hauck,Teresa Kling,Producer
44,3,Rosalie Doyle,Mindy Donnelly,CostumeDesigner
45,3,Gayle Huel,Angelica Ratke,FilmEditor
46,4,Eileen Yundt,Brittany Morissette,Director
47,4,Amanda Larson,Rosalie Kutch,Producer
48,4,Maureen Gerhold,Debra Collier,Director
49,4,Caroline Greenholt,Adrian Cummings,Actor
50,4,Tommy Streich,Clinton Rau,Screenwriter
51,4,Suzanne Daugherty,Jane Hirthe,ProductionDesigner
52,4,Jared Herman,Gayle Nitzsche,MusicCompose
53,4,Charlotte Little,Arturo Jones,ProductionDesigner
54,4,Lois Cruickshank,Joey Greenfelder,Director
55,4,Allison Farrell,Kristine Ruecker,ProductionDesigner
56,4,Brent Cruickshank,Saul Rau,Cinematographer
57,4,Shannon O'Keefe,Wayne Beier,MusicCompose
58,4,Bennie Herman,Dan Dare,CostumeDesigner
59,4,Amber Keebler,Luis Reynolds,FilmEditor
60,4,Eric Dooley,Andrea Corkery,ProductionDesigner
61,5,Miguel Thiel,Margie Quitzon,FilmEditor
62,5,Bruce Spinka,Joanne Corkery,Director
63,5,David Nolan,Alfred Fadel,FilmEditor
64,5,Gregory Lockman,Christie Strosin,Producer
65,5,Elbert Willms,Ivan Mills,MusicCompose
66,5,Steven Moen,Cassandra Satterfield,Producer
67,5,Kent Kuhic,Israel Abshire,Screenwriter
68,5,Amber Littel,Ignacio Rolfson,Screenwriter
69,5,Judy Rolfson,Judith Pouros,Producer
70,5,Kay Ziemann,Jack Hettinger,Director
71,5,Neal Upton,Chris Price,Director
72,5,June Wiegand,Leona Brakus,Actor
73,5,Opal Hoeger,Mathew Rodriguez,Actor
74,5,Regina Kuvalis,Maureen Armstrong,Actor
75,5,Howard Gerhold,Stacey Bashirian,CostumeDesigner
76,6,Jo Turner,Carole Moen,Actress
77,6,Arthur Smith,Earnest Hegmann,MusicCompose
78,6,Cindy Stark,Darin Wisoky,Director
79,6,Angel Bechtelar,Sylvester Kiehn,CostumeDesigner
80,6,Nellie Mosciski,Oscar Casper,FilmEditor
81,6,Eddie Crist,Rose Hane,MusicCompose
82,6,Susie Baumbach,Eunice Harris,Cinematographer
83,6,Johnnie Jacobi,Wesley Mann,FilmEditor
84,6,Sabrina Nicolas,Thelma Osinski,Actress
85,6,Orville Durgan,Sara Legros,MusicCompose
86,6,Alberta VonRueden,Bernadette Nienow,Director
87,6,Sylvia Reichel,Leroy Senger,Cinematographer
88,6,Constance Powlowski,Randolph Feeney,Cinematographer
89,6,Melissa Carroll,Judith Zulauf,ProductionDesigner
90,6,Mandy Schroeder,Paulette Koch,Producer
91,7,Roderick Bergnaum,Sharon Hackett,Producer
92,7,Marcus McDermott,Raquel Torphy,CostumeDesigner
93,7,David Roberts,Leo Will,Actress
94,7,Dolores Johns,Maureen Nolan,CostumeDesigner
95,7,Gail Halvorson,Derek Tromp,Director
96,7,Wallace Bayer,Alison Labadie,MusicCompose
97,7,Max Quitzon,Max Nikolaus,FilmEditor
98,7,Patsy Yundt,Irvin Feil,Producer
99,7,Wilma Torphy,Marco Lindgren,ProductionDesigner
100,7,Brent Leannon,Julie Senger,ProductionDesigner
101,7,Kelli Bradtke,Marshall Hartmann,Actress
102,7,Jody Johnson,Essie Rau,Actress
103,7,Cesar Kuphal,Jonathon Bauch,Actress
104,7,Ora Skiles,Jordan Davis,Producer
105,7,Emmett Harris,Billy Stehr,ProductionDesigner
106,8,Wendy Mitchell,Silvia Roberts,FilmEditor
107,8,Kathy Kertzmann,Willard Becker,Actor
108,8,Clarence Bosco,Billie Botsford,FilmEditor
109,8,Violet Hermiston,Micheal Beatty,Producer
110,8,Jenny Schoen,Martha Waters,Producer
111,8,Dolores Thiel,Lawrence Jones,Producer
112,8,Marguerite Davis,Debra O'Connell,MusicCompose
113,8,Sammy Klein,Myrtle Pagac,CostumeDesigner
114,8,Nathaniel Corwin,Walter O'Keefe,ProductionDesigner
115,8,Reginald Moen,Kimberly Hayes,Actor
116,8,Mathew Simonis,Jermaine Torp,Cinematographer
117,8,Priscilla Ledner,Darrel Powlowski,Director
118,8,Melinda McGlynn,Nellie Carter,Actress
119,8,Angel Parker,Luther Grant,CostumeDesigner
120,8,Edna Cole,Christie Quigley,Director
121,9,Wallace Steuber,Willis Abbott,Producer
122,9,Johnny Ziemann,Tyler Hackett,CostumeDesigner
123,9,Ramona Jast,Rudy Von,ProductionDesigner
124,9,Rick Tromp,Kristopher Paucek,Cinematographer
125,9,Jose Casper,Gary Kilback,Cinematographer
126,9,Charles Murazik,Raymond Wolff,Actress
127,9,Brandy Mante,Wayne Kiehn,CostumeDesigner
128,9,Irma Blanda,Roger Erdman,MusicCompose
129,9,Grace O'Hara,Patrick Nienow,CostumeDesigner
130,9,Helen Bailey,Bryant Kilback,Actor
131,9,Roberto Spinka,Inez Gislason,Cinematographer
132,9,Stella Vandervort,Rosie Beatty,Director
133,9,Tamara Schaden,Arlene O'Hara,Actor
134,9,Elaine Fay,Stanley Goodwin,CostumeDesigner
135,9,Tracy Turcotte,Johnnie Prosacco,Screenwriter
136,10,Tonya Smitham,Noah Donnelly,ProductionDesigner
137,10,Leslie Mitchell,Leigh Cronin,Cinematographer
138,10,Jamie Nienow,Juan Wiegand,ProductionDesigner
139,10,Krista Bode,Doreen Gaylord,FilmEditor
140,10,Stephen Doyle,Joseph Halvorson,Cinematographer
141,10,Eileen Kertzmann,Naomi Aufderhar,Actor
142,10,Herman Dietrich,Caleb Russel,Screenwriter
143,10,Kate Daugherty,Lynne Beier,Screenwriter
144,10,Lynne Jenkins,Van Cole,MusicCompose
145,10,Sylvester Corwin,Kent Kshlerin,Director
146,10,Rochelle Grant,Tracy Klocko,CostumeDesigner
147,10,Lonnie Strosin,Eunice Mills,Producer
148,10,Delia Berge,Rebecca Nader,Cinematographer
149,10,Francisco White,Ernestine Daniel,Actor
150,10,Jimmie Steuber,Jody Williamson,Director
151,11,Israel Brakus,Ray Corwin,Screenwriter
152,11,Vivian Upton,Paulette Reichel,Cinematographer
153,11,Allan Walter,Raul Beahan,Screenwriter
154,11,Harold Pfeffer,Loren Stokes,Cinematographer
155,11,Josh Walsh,Della Macejkovic,Screenwriter
156,11,Dean Hackett,Mamie Dickinson,Screenwriter
157,11,Sharon Murazik,Bradley Ferry,Cinematographer
158,11,Erma Marquardt,Edward Erdman,MusicCompose
159,11,Rita Turner,Sergio Shanahan,CostumeDesigner
160,11,Ray Howe,Gabriel Ankunding,CostumeDesigner
161,11,Eloise Hermiston,Sadie Dare,FilmEditor
162,11,Bruce Dach,Carl Emard,MusicCompose
163,11,Velma Mante,Pedro Schultz,MusicCompose
164,11,Curtis Schinner,Tanya Streich,Actor
165,11,Antonio Weber,Marta Bashirian,MusicCompose
166,12,Jessica Wiza,Jackie Haley,ProductionDesigner
167,12,Bill Price,Ken Streich,FilmEditor
168,12,Yolanda Effertz,Winston Goodwin,MusicCompose
169,12,Russell Jast,Tommy Hahn,MusicCompose
170,12,Erma Mitchell,Muriel Doyle,Actress
171,12,Ethel Doyle,Josefina Mohr,FilmEditor
172,12,Lynn Oberbrunner,Melanie Bergstrom,CostumeDesigner
173,12,Kristopher Jaskolski,Johnny Robel,Actress
174,12,Anne Sporer,Debbie Bernier,ProductionDesigner
175,12,Clifford Robel,Marlon Senger,Cinematographer
176,12,Rolando Gutkowski,Mike Ziemann,Screenwriter
177,12,Margaret Kuhn,Teri Barton,Director
178,12,Kay Cronin,Terry Kovacek,ProductionDesigner
179,12,Rosie Mann,Traci Harris,Producer
180,12,Juanita McKenzie,April Wilkinson,ProductionDesigner
